PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
148281: reward: 240.61, mean_100: -22.73, episodes: 437
148728: reward: -83.73, mean_100: -23.00, episodes: 438
148859: reward: -16.92, mean_100: -22.03, episodes: 439
148988: reward: -34.66, mean_100: -21.53, episodes: 440
149132: reward: -401.29, mean_100: -24.27, episodes: 441
149358: reward: -577.84, mean_100: -29.01, episodes: 442
149482: reward: -567.79, mean_100: -33.66, episodes: 443
150142: reward: 173.80, mean_100: -31.08, episodes: 444
150756: reward: 268.68, mean_100: -29.81, episodes: 445
151757: reward:  39.50, mean_100: -29.00, episodes: 446
151902: reward:  -9.04, mean_100: -31.07, episodes: 447
152052: reward:  49.17, mean_100: -29.38, episodes: 448
153005: reward: 208.66, mean_100: -27.26, episodes: 449
153208: reward: 259.59, mean_100: -24.47, episodes: 450
154209: reward: 108.30, mean_100: -25.16, episodes: 451
154441: reward: -136.84, mean_100: -28.46, episodes: 452
154713: reward: 231.66, mean_100: -27.51, episodes: 453
155714: reward: 130.81, mean_100: -26.09, episodes: 454
155925: reward: 234.77, mean_100: -23.55, episodes: 455
156069: reward:  -1.27, mean_100: -23.58, episodes: 456
156264: reward: 224.53, mean_100: -23.29, episodes: 457
156471: reward: 260.27, mean_100: -21.02, episodes: 458
156587: reward:   9.84, mean_100: -20.60, episodes: 459
156688: reward:  -2.52, mean_100: -20.88, episodes: 460
156810: reward:  18.03, mean_100: -20.27, episodes: 461
156924: reward:   0.47, mean_100: -19.81, episodes: 462
157019: reward:  37.41, mean_100: -21.62, episodes: 463
157139: reward:  20.85, mean_100: -21.36, episodes: 464
157239: reward:  23.02, mean_100: -22.95, episodes: 465
157340: reward:   3.63, mean_100: -24.33, episodes: 466
157438: reward:  31.21, mean_100: -18.64, episodes: 467
157550: reward:  13.90, mean_100: -17.44, episodes: 468
157649: reward:  43.83, mean_100: -16.63, episodes: 469
157771: reward:   6.81, mean_100: -16.04, episodes: 470
157869: reward:   4.70, mean_100: -15.49, episodes: 471
157956: reward: -28.23, mean_100: -15.85, episodes: 472
158957: reward: 106.34, mean_100: -14.48, episodes: 473
