PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
68949: reward: -118.78, mean_100: -65.88, episodes: 340
69449: reward: 193.60, mean_100: -64.33, episodes: 341
69980: reward: -83.00, mean_100: -65.45, episodes: 342
70715: reward: -120.19, mean_100: -66.10, episodes: 343
71484: reward: -93.83, mean_100: -65.37, episodes: 344
71796: reward:  35.80, mean_100: -62.47, episodes: 345
72797: reward:  40.24, mean_100: -60.63, episodes: 346
73214: reward: -208.39, mean_100: -59.71, episodes: 347
74215: reward: -100.49, mean_100: -57.77, episodes: 348
74763: reward: 195.08, mean_100: -54.05, episodes: 349
75691: reward: 206.65, mean_100: -50.14, episodes: 350
76053: reward: -82.21, mean_100: -51.00, episodes: 351
76557: reward: 241.81, mean_100: -47.10, episodes: 352
77211: reward: 127.44, mean_100: -44.23, episodes: 353
77884: reward: 162.46, mean_100: -41.29, episodes: 354
78354: reward: -146.96, mean_100: -42.55, episodes: 355
78496: reward:   5.01, mean_100: -41.91, episodes: 356
78664: reward:   8.30, mean_100: -42.08, episodes: 357
78831: reward:  12.04, mean_100: -42.44, episodes: 358
79832: reward:  51.57, mean_100: -41.36, episodes: 359
80162: reward: 232.89, mean_100: -38.75, episodes: 360
80374: reward:  38.68, mean_100: -38.97, episodes: 361
80682: reward: -63.35, mean_100: -38.66, episodes: 362
80942: reward: -13.93, mean_100: -38.75, episodes: 363
81589: reward:  90.68, mean_100: -35.38, episodes: 364
82590: reward:  -1.36, mean_100: -35.02, episodes: 365
83591: reward:  61.70, mean_100: -33.82, episodes: 366
84592: reward:  99.52, mean_100: -32.86, episodes: 367
85053: reward: 227.98, mean_100: -30.60, episodes: 368
85829: reward: 109.96, mean_100: -28.21, episodes: 369
86830: reward: -119.29, mean_100: -29.58, episodes: 370
87831: reward: -114.99, mean_100: -30.32, episodes: 371
88832: reward:  70.62, mean_100: -29.60, episodes: 372
89833: reward: -71.85, mean_100: -29.34, episodes: 373
90834: reward:  82.42, mean_100: -28.18, episodes: 374
91234: reward:  16.96, mean_100: -27.25, episodes: 375
92235: reward: -18.83, mean_100: -25.28, episodes: 376
93236: reward:  20.77, mean_100: -24.69, episodes: 377
94237: reward: -68.80, mean_100: -25.44, episodes: 378
95238: reward:  37.03, mean_100: -24.71, episodes: 379
96239: reward: -23.74, mean_100: -24.59, episodes: 380
97240: reward: -78.73, mean_100: -25.52, episodes: 381
98241: reward: -47.57, mean_100: -25.77, episodes: 382
99242: reward: -33.16, mean_100: -25.73, episodes: 383
100243: reward:  71.89, mean_100: -23.77, episodes: 384
101244: reward: -90.05, mean_100: -23.16, episodes: 385
102245: reward: -81.15, mean_100: -23.80, episodes: 386
103246: reward: -51.99, mean_100: -23.73, episodes: 387
104247: reward: -92.55, mean_100: -23.04, episodes: 388
105248: reward:  59.56, mean_100: -22.03, episodes: 389
106249: reward: 139.13, mean_100: -19.82, episodes: 390
106821: reward: -29.33, mean_100: -17.46, episodes: 391
107822: reward: -17.81, mean_100: -13.51, episodes: 392
108823: reward: -146.23, mean_100: -14.70, episodes: 393
